"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"74.nice-2",74,44,1,3,2,20,"a.Nice","b.Kismet",FALSE
"83.nice-2",83,25,0,3,2,20,"a.Nice","b.Kismet",FALSE
"84.nice-2",84,24,0,3,2,100,"a.Nice","b.Kismet",FALSE
"85.nice-2",85,24,0,3,2,30,"a.Nice","b.Kismet",FALSE
"86.nice-2",86,22,0,3,2,50,"a.Nice","b.Kismet",FALSE
"87.nice-2",87,25,0,3,2,60,"a.Nice","b.Kismet",FALSE
"92.nice-2",92,42,1,3,2,10,"a.Nice","b.Kismet",FALSE
"1.mean-5",1,71,1,1,2,50,"b.Mean","e.Fashion.Doll",FALSE
"2.mean-5",2,62,0,3,2,60,"b.Mean","e.Fashion.Doll",FALSE
"3.mean-5",3,71,1,1,1,85,"b.Mean","e.Fashion.Doll",FALSE
"4.mean-5",4,68,0,6,1,50,"b.Mean","e.Fashion.Doll",FALSE
"5.mean-5",5,48,1,1,2,0,"b.Mean","e.Fashion.Doll",FALSE
"6.mean-5",6,46,0,6,2,20,"b.Mean","e.Fashion.Doll",FALSE
"7.mean-5",7,54,0,1,2,20,"b.Mean","e.Fashion.Doll",FALSE
"8.mean-5",8,49,0,3,2,20,"b.Mean","e.Fashion.Doll",FALSE
"9.mean-5",9,48,1,3,2,10,"b.Mean","e.Fashion.Doll",FALSE
"11.mean-5",11,55,0,1,2,100,"b.Mean","e.Fashion.Doll",FALSE
"12.mean-5",12,NA,0,1,2,30,"b.Mean","e.Fashion.Doll",NA
"15.mean-5",15,31,0,3,1,40,"b.Mean","e.Fashion.Doll",FALSE
"18.mean-5",18,28,1,5,1,70,"b.Mean","e.Fashion.Doll",FALSE
"19.mean-5",19,24,0,5,2,10,"b.Mean","e.Fashion.Doll",FALSE
"20.mean-5",20,27,0,5,2,80,"b.Mean","e.Fashion.Doll",FALSE
"21.mean-5",21,27,1,5,2,40,"b.Mean","e.Fashion.Doll",FALSE
"22.mean-5",22,25,1,6,2,10,"b.Mean","e.Fashion.Doll",FALSE
"23.mean-5",23,23,1,3,1,30,"b.Mean","e.Fashion.Doll",FALSE
"26.mean-5",26,26,NA,3,2,50,"b.Mean","e.Fashion.Doll",FALSE
"27.mean-5",27,31,1,5,2,0,"b.Mean","e.Fashion.Doll",FALSE
"28.mean-5",28,25,0,5,2,10,"b.Mean","e.Fashion.Doll",FALSE
"29.mean-5",29,24,1,5,1,10,"b.Mean","e.Fashion.Doll",FALSE
"30.mean-5",30,24,0,5,2,30,"b.Mean","e.Fashion.Doll",FALSE
"31.mean-5",31,26,0,5,1,25,"b.Mean","e.Fashion.Doll",FALSE
"32.mean-5",32,22,0,2,1,20,"b.Mean","e.Fashion.Doll",FALSE
"43.mean-5",43,22,0,5,2,5,"b.Mean","e.Fashion.Doll",FALSE
"44.mean-5",44,24,0,5,2,90,"b.Mean","e.Fashion.Doll",FALSE
"45.mean-5",45,26,0,5,1,0,"b.Mean","e.Fashion.Doll",FALSE
"58.mean-5",58,38,1,3,1,0,"b.Mean","e.Fashion.Doll",FALSE
"63.mean-5",63,54,1,1,1,15,"b.Mean","e.Fashion.Doll",FALSE
"64.mean-5",64,35,1,3,1,40,"b.Mean","e.Fashion.Doll",FALSE
"65.mean-5",65,35,1,3,2,10,"b.Mean","e.Fashion.Doll",FALSE
"66.mean-5",66,10,0,5,1,0,"b.Mean","e.Fashion.Doll",TRUE
"68.mean-5",68,35,0,3,2,100,"b.Mean","e.Fashion.Doll",FALSE
"71.mean-5",71,35,0,1,2,25,"b.Mean","e.Fashion.Doll",FALSE
"72.mean-5",72,50,0,3,2,30,"b.Mean","e.Fashion.Doll",FALSE
"73.mean-5",73,43,0,1,2,0,"b.Mean","e.Fashion.Doll",FALSE
"74.mean-5",74,44,1,3,2,80,"b.Mean","e.Fashion.Doll",FALSE
"83.mean-5",83,25,0,3,2,20,"b.Mean","e.Fashion.Doll",FALSE
"84.mean-5",84,24,0,3,2,10,"b.Mean","e.Fashion.Doll",FALSE
"85.mean-5",85,24,0,3,2,1,"b.Mean","e.Fashion.Doll",FALSE
"86.mean-5",86,22,0,3,2,10,"b.Mean","e.Fashion.Doll",FALSE
"87.mean-5",87,25,0,3,2,30,"b.Mean","e.Fashion.Doll",FALSE
"92.mean-5",92,42,1,3,2,0,"b.Mean","e.Fashion.Doll",FALSE
"1.mean-3",1,71,1,1,2,50,"b.Mean","c.Big.Lips",FALSE
"2.mean-3",2,62,0,3,2,70,"b.Mean","c.Big.Lips",FALSE
"3.mean-3",3,71,1,1,1,40,"b.Mean","c.Big.Lips",FALSE
"4.mean-3",4,68,0,6,1,40,"b.Mean","c.Big.Lips",FALSE
"5.mean-3",5,48,1,1,2,20,"b.Mean","c.Big.Lips",FALSE
"6.mean-3",6,46,0,6,2,80,"b.Mean","c.Big.Lips",FALSE
"7.mean-3",7,54,0,1,2,30,"b.Mean","c.Big.Lips",FALSE
