ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
2333,1,1,1,2,1,1,2,1,3,3,2,5,4,3,1,2,3,4,2,5,3,5,1,2,5,1,5,4,3,5,2,5,5,5,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,1
2334,2,1,1,2,1,1,3,4,3,3,2,2,2,2,1,2,2,1,3,6,2,4,6,2,2,1,5,5,3,4,3,3,5,5,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7601013765151,1
2335,1,1,2,2,1,1,1,2,2,1,2,1,2,3,1,1,1,1,3,1,1, , , ,1,1,5,4,4,4,4,2,5,4,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,1
2336,1,1,1,2,1,1,1,3,3,3,2,2,2,1,2,2,2,1,3,2,1, , , ,2,2,3,4,3,5,4,5,5,5,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2337,2,1,3,3,1,1,1,2,3,3,3,1,2,2,2,1,2,2,1,2,2,3,2,6,6,3,4,3,5,4,5,5,5,5,2,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2338,2,1,1,2,1,1,1,4,3,3,2,2,2,6,2,2,2,2,2,2,1, , , ,2,1,4,4,5,5,5,3,5,5,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951,1
2339,2,1,1,3,1,1,3,4,3,4,2,2,6,6,2,6,6,2,1,3,2,3,3,3,2,3,3,4,4,4,2,4,5,4,4,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101,1
2340,1,1,1,2,1,5,1,3,3,3,2,2,2,1,1,2,3,1,2,6,1, , , ,2,1,5,5,5,5,3,5,5,5,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,66.8625516314074,1
2341,1,1,1,2,1,5,3,1,2,3,2,2,3,3,2,1,2,6,3,6,3,5,1,1,2,1,3,5,3,2,1,1,3,5,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,36.507637095292,1
2342,2,1,2,2,1,1,1,3,3,3,2,2,2,2,2,2,2,2,3,1,1, , , ,2,3,2,3,5,5,3,3,4,5,4,4,5,1, , , , , , , ,1,3,3,3,2,3,2,2,1,5,1,4,5,2,5,2,5,4,45.6682821130426,1
2343,1,1,1,2,1,1,1,4,3,3,2,2,2,6,3,2,6,2,3,2,2,3,1,3,1,1,4,4,4,5,5,5,5,5,4,4,5,2, , , , , , , ,1,3,3,1,1,3,2,2,1,5,1,4,4,1,5,5,1,2,57.2859533551951,1
2344,2,1,3,2,1,1,1,2,3,3,1,2,2,2,2,2,2,2,3,2,2,4,4,2,2,1,4,5,5,5,3,4,5,5,5,5,5,2, ,1, , , , , , ,2,2,2,2,3,2,2,2,3,2,3,4,1,3,1,3,2,59.8493862271105,1
2345,2,1,1,2,1,2,1,4,3,3,2,2,1,2,2,2,2,1,3,2,1, , , ,2,2,5,5,5,5,4,4,5,5,5,4,4,1, , , , , , , ,1,2,3,4,4,3,2,2,1,4,1,4,3,5,3,2,2,2,62.9351790050011,1
2346,2,1,1,2,1,1,1,3,3,3,2,2,2,2,1, ,2,1,3,1,1, , , ,1,1,5,4,5,4,5,5,5,5,5,5,5,2, , , , , , , ,1,1,3,2,1,2,2,2,3,2,2,4,3,1,3,1,2,1,66.8625516314074,1
2347,1,1,1,2,1,1,1,4,2,2,3,1,2,2,2,3,1,3,3,2,2,5,2,2,2,1,5,4,3,4,3,1,3,4,4,4,2,2, , ,1, ,1, , , ,1,2,2,2,3,1,3,4,1,2,2,3,1,4,1,3,3,42.2729427242036,1
2348,1,2,4,2,1,1,1,4,3,3,2,1,1,1,1,2,1,2,3,2,1, , , ,1,1,5,5,5,5,5,5,5,5,5,4,5,2, , , , , , ,1, ,3,3,1,1,3,2,2,5,5,5,5,5,5,5,1,5,5,72.4924306180291,1
2349,1,1,1,2,1,1,1,4,3,3,2,1,1,2,2,2,1,2,3,2,1, , , ,2,1,5,5,5,5,1,4,5,5,5,5,3,2, , , , , , , ,1,3,3,2,2,3,2,2,5,5,1,4,2,2,2,1,2,5,57.2859533551951,1
2350,1,1,3,1,1,1,1,4,3,3,2,1,2,1,2,1,1,2,1,1,2,4,3,2,1,3,3,3,3,5,4,3,5,5,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,1
2351,2,1,1,2,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1, , , ,1,1,5,5,5,4,4,5,4,5,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,1
2352,2,1,3,2,1,1,1,4,3,3,2,3,2,1,1,2,2,2,3,1,1, , , ,1,1,4,4,5,5,3,3,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2353,1,1,1,2,1,1,1,2,3,3,2,2,3,4,2,2,4,4,2,3,2,3,4,1,2,2,5,5,4,5,3,4,5,4,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2354,2,1,1,2,2,1,1,4,3,3,2,2,3,1,2,2,2,2,1,2,2,5,5,2,1,3,4,3,5,5,4,4,5,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
