"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"3.b.Kismet",3,"M",56,0,"N","b.Kismet",14,1,FALSE
"4.b.Kismet",4,"F",32,0.25,"N","b.Kismet",27,0,FALSE
"5.b.Kismet",5,"M",44,0,"N","b.Kismet",-10,1,FALSE
"6.b.Kismet",6,"M",45,0,"N","b.Kismet",20,1,FALSE
"7.b.Kismet",7,"F",26,0,"N","b.Kismet",-18,0,FALSE
"8.b.Kismet",8,"F",61,0,"N","b.Kismet",-7,0,FALSE
"9.b.Kismet",9,"M",13,10,"N","b.Kismet",32,1,TRUE
"10.b.Kismet",10,"F",44,0,"N","b.Kismet",19,0,FALSE
"18.b.Kismet",18,"F",12,0,"N","b.Kismet",57,0,TRUE
"19.b.Kismet",19,"M",21,25,"N","b.Kismet",-74,1,FALSE
"20.b.Kismet",20,"F",66,0,"N","b.Kismet",74,0,FALSE
"21.b.Kismet",21,"F",47,0,"N","b.Kismet",43,0,FALSE
"24.b.Kismet",24,"F",13,3.5,"N","b.Kismet",44,0,TRUE
"25.b.Kismet",25,"M",46,0,"N","b.Kismet",19,1,FALSE
"26.b.Kismet",26,"F",46,0,"N","b.Kismet",29,0,FALSE
"29.b.Kismet",29,"F",35,0,"N","b.Kismet",32,0,FALSE
"30.b.Kismet",30,"M",48,0,"N","b.Kismet",-38,1,FALSE
"31.b.Kismet",31,"F",41,0,"N","b.Kismet",-73,0,FALSE
"32.b.Kismet",32,"M",44,0,"N","b.Kismet",-12,1,FALSE
"34.b.Kismet",34,"M",46,0,"N","b.Kismet",34,1,FALSE
"35.b.Kismet",35,"F",52,0,"N","b.Kismet",24,0,FALSE
"36.b.Kismet",36,"F",43,0,"N","b.Kismet",-63,0,FALSE
"38.b.Kismet",38,"F",69,0,"N","b.Kismet",22,0,FALSE
"39.b.Kismet",39,"M",76,0,"N","b.Kismet",-18,1,FALSE
"41.b.Kismet",41,"M",33,0.5,"N","b.Kismet",30,1,FALSE
"42.b.Kismet",42,"M",14,12,"N","b.Kismet",51,1,TRUE
"44.b.Kismet",44,"F",46,0,"N","b.Kismet",56,0,FALSE
"45.b.Kismet",45,"F",46,0,"N","b.Kismet",-57,0,FALSE
"46.b.Kismet",46,"F",12,0,"N","b.Kismet",34,0,TRUE
"47.b.Kismet",47,"M",54,0,"N","b.Kismet",41,1,FALSE
"48.b.Kismet",48,"F",47,0,"N","b.Kismet",14,0,FALSE
"50.b.Kismet",50,"M",14,10,"N","b.Kismet",-29,1,TRUE
"51.b.Kismet",51,"M",11,1,"N","b.Kismet",54,1,TRUE
"52.b.Kismet",52,"F",13,3,"N","b.Kismet",70,0,TRUE
"2.b.Kismet",2,"F",52,0,"Y","b.Kismet",50,0,FALSE
"11.b.Kismet",11,"F",13,0,"Y","b.Kismet",-63,0,TRUE
"12.b.Kismet",12,"M",48,0,"Y","b.Kismet",46,1,FALSE
"13.b.Kismet",13,"F",32,0,"Y","b.Kismet",-28,0,FALSE
"14.b.Kismet",14,"F",51,0,"Y","b.Kismet",-44,0,FALSE
"15.b.Kismet",15,"M",14,2,"Y","b.Kismet",57,1,TRUE
"16.b.Kismet",16,"F",50,0,"Y","b.Kismet",-52,0,FALSE
"17.b.Kismet",17,"F",44,0,"Y","b.Kismet",-59,0,FALSE
"22.b.Kismet",22,"F",33,0,"Y","b.Kismet",-75,0,FALSE
